"","first_vaccine","ges_group","N"
"1","AstraZeneca","<34",6
"2","AstraZeneca","34-<37",22
"3","AstraZeneca","37-<38",53
"4","AstraZeneca","38-<39",175
"5","AstraZeneca","39-<40",145
"6","AstraZeneca","40-<41",39
"7","AstraZeneca","41",1
"8","Pfizer BioNTech","<34",8
"9","Pfizer BioNTech","34-<37",26
"10","Pfizer BioNTech","37-<38",56
"11","Pfizer BioNTech","38-<39",164
"12","Pfizer BioNTech","39-<40",203
"13","Pfizer BioNTech","40-<41",55
"14","Pfizer BioNTech","41",1
